x,y,z,scaled x, scaled y, scaled z, distance
1005398.356139,811606.797182,835900.739686,251349.589035,202901.699295,20897.518492,25989.243976
998854.257870,782778.156934,815429.636707,249713.564468,195694.539233,20385.740918,32845.445054
997654.611951,814391.862786,831784.381400,249413.652988,203597.965697,20794.609535,20318.069882
1013014.114386,804869.257115,827218.138360,253253.528597,201217.314279,20680.453459,32851.376965
981713.334910,803084.566736,833513.808445,245428.333727,200771.141684,20837.845211,930.463770
979092.225585,802971.996551,832654.222136,244773.056396,200742.999138,20816.355553,2272.536501
952800.307086,802692.307086,825297.355714,238200.076772,200673.076772,20632.433893,29438.182187
964534.432601,789726.000000,815780.902565,241133.608150,197431.500000,20394.522564,27908.036375
978527.815999,801407.153623,836271.657162,244631.954000,200351.788406,20906.791429,3700.646474
973030.069501,796795.006193,823463.758844,243257.517375,199198.751548,20586.593971,14588.174117
954548.322777,802293.047958,826599.108440,238637.080694,200573.261990,20664.977711,27401.900674
1009962.967808,801330.658430,844364.859444,252490.741952,200332.664607,21109.121486,30886.866093
957599.874708,804596.643667,808270.487118,239399.968677,201149.160917,20206.762178,34758.080610
973263.173055,790271.478510,807345.000000,243315.793264,197567.869628,20183.625000,30549.578243
963764.798010,793389.303085,799264.313235,240941.199502,198347.325771,19981.607831,39935.648720
988691.600770,794446.596922,831285.711846,247172.900192,198611.649230,20782.142796,11931.884622
981262.669127,805074.527284,834777.176003,245315.667282,201268.631821,20869.429400,2164.168093
993305.491937,774912.838959,821286.269466,248326.372984,193728.209740,20532.156737,33296.451298
986495.046189,779953.322643,817425.000000,246623.761547,194988.330661,20435.625000,28997.241249
1004540.011638,797047.200748,841112.527638,251135.002909,199261.800187,21027.813191,25395.589073
939935.411896,776393.964281,784525.615350,234983.852974,194098.491070,19613.140384,69568.737269
1001240.344450,821470.188546,835124.828782,250310.086113,205367.547136,20878.120720,27426.876738
1007676.318176,831120.235184,829721.378813,251919.079544,207780.058796,20743.034470,38990.224992
981664.122121,810418.931136,827017.095492,245416.030530,202604.732784,20675.427387,10154.599345
1007384.738626,781072.399199,836433.640649,251846.184657,195268.099800,20910.841016,34508.195652
976966.642522,809072.468940,824504.479253,244241.660631,202268.117235,20612.611981,11901.920427
1022112.000000,820989.394182,851403.438616,255528.000000,205247.348546,21285.085965,48169.115421
974403.646071,801784.090412,831271.736483,243600.911518,200446.022603,20781.793412,7183.039418
1003783.109580,798104.677518,843383.902342,250945.777395,199526.169379,21084.597559,25210.574274
975551.813208,800258.093022,801081.058504,243887.953302,200064.523255,20027.026463,33473.271261
964625.082852,793984.527918,799565.471861,241156.270713,198496.131980,19989.136797,39167.096461
998770.663787,780115.959059,814818.295272,249692.665947,195028.989765,20370.457382,34844.151569
975133.137636,797231.828116,791464.687535,243783.284409,199307.957029,19786.617188,43324.225305
