x,y,z,scaled x, scaled y, scaled z, distance
662948.188357,704257.479340,983863.236339,165737.047089,176064.369835,24596.580908,39858.471929
698227.728279,704584.742200,975174.158001,174556.932070,176146.185550,24379.353950,29674.240348
687090.996750,682413.991266,977672.987378,171772.749188,170603.497816,24441.824684,8029.341651
681112.789576,681471.471340,978345.619028,170278.197394,170367.867835,24458.640476,11623.960015
658274.411074,673644.486719,978341.458935,164568.602768,168411.121680,24458.536473,33151.385971
680452.809540,666899.919729,982894.562574,170113.202385,166724.979932,24572.364064,14447.448393
658173.856057,715426.741764,951460.797645,164543.464014,178856.685441,23786.519941,59049.761626
716196.543904,699682.864695,979108.181301,179049.135976,174920.716174,24477.704533,34246.029458
688494.296055,653427.367381,991344.538780,172123.574014,163356.841845,24783.613470,25318.148869
638274.252804,685119.067999,981084.681252,159568.563201,171279.767000,24527.117031,53672.317242
702193.026376,651403.259064,965574.419059,175548.256594,162850.814766,24139.360476,31233.188993
647742.957796,694739.366444,976484.985241,161935.739449,173684.841611,24412.124631,47421.961302
653433.006446,658100.993554,973632.375023,163358.251611,164525.248389,24340.809376,42571.318344
675415.383456,681392.647611,970780.841044,168853.845864,170348.161903,24269.521026,19429.633797
659853.559686,692505.811552,973557.186562,164963.389922,173126.452888,24338.929664,36047.991209
658286.209068,719075.518571,976772.591458,164571.552267,179768.879643,24419.314786,54125.222940
681320.826434,680840.350982,976161.455462,170330.206609,170210.087746,24404.036387,11861.360497
686414.469063,663651.786706,986258.957219,171603.617266,165912.946677,24656.473930,14577.720549
714363.211954,654065.408965,970410.577906,178590.802988,163516.352241,24260.264448,33771.050926
672506.782421,715808.835754,953118.226073,168126.695605,178952.208939,23827.955652,51771.312065
675787.351609,696542.937582,964075.878829,168946.837902,174135.734395,24101.896971,30487.904637
646148.204372,712315.504412,983958.699960,161537.051093,178078.876103,24598.967499,57763.496193
650217.902903,689742.302052,945102.938822,162554.475726,172435.575513,23627.573471,56047.553607
692961.180741,672414.815074,979600.136780,173240.295185,168103.703768,24490.003419,4463.208436
666319.466753,679197.399628,959652.466121,166579.866688,169799.349907,23991.311653,32846.981279
670386.660990,677864.259399,958466.824862,167596.665248,169466.064850,23961.670622,30639.242339
681491.865703,676929.299484,956434.938929,170372.966426,169232.324871,23910.873473,26316.702938
637664.319911,680284.427776,966267.713888,159416.079978,170071.106944,24156.692847,55654.707463
676723.433574,670119.928795,980861.074605,169180.858393,167529.982199,24521.526865,15766.790392
677275.663616,636302.951189,1000417.313038,169318.915904,159075.737797,25010.432826,46663.854465
735630.347244,677874.954070,979492.362207,183907.586811,169468.738517,24487.309055,44459.221350
636961.909810,684933.983241,981564.235426,159240.477453,171233.495810,24539.105886,54941.871432
640104.893042,729026.060413,966431.992258,160026.223260,182256.515103,24160.799806,74829.325076
700316.568934,676420.134014,972917.133598,175079.142233,169105.033503,24322.928340,12089.864951
682249.868911,682384.785917,976743.102609,170562.467228,170596.196479,24418.577565,11591.324341
710957.846512,675787.006600,965143.379448,177739.461628,168946.751650,24128.584486,25248.918656
694982.638183,629656.696102,944412.811167,173745.659546,157414.174025,23610.320279,59342.036013
656321.340696,682657.326942,977739.545615,164080.335174,170664.331735,24443.488640,35608.153388
697525.503775,674968.743022,975863.974682,174381.375944,168742.185755,24396.599367,8169.809256
665205.301832,700294.789864,968581.045848,166301.325458,175073.697466,24214.526146,37454.229975
655350.601974,694778.565005,962993.339350,163837.650494,173694.641251,24074.833484,44127.825303
689231.269937,694141.712579,980217.056218,172307.817484,173535.428145,24505.426405,17944.580825
653413.043702,712160.198151,974579.702663,163353.260926,178040.049538,24364.492567,52474.560451
653898.652693,695370.951277,962886.563865,163474.663173,173842.737819,24072.164097,45602.472008
649946.422503,695768.247381,976906.865187,162486.605626,173942.061845,24422.671630,45798.780833
682429.353574,685828.805725,975290.522866,170607.338393,171457.201431,24382.263072,14104.435669
641681.127741,725702.237292,967859.233555,160420.281935,181425.559323,24196.480839,71149.459474
690330.368431,675976.225467,977658.609152,172582.592108,168994.056367,24441.465229,3359.610729
699780.197071,664432.754066,990066.000000,174945.049268,166108.188517,24751.650000,17290.638675
671985.531158,682912.987397,978183.132155,167996.382789,170728.246849,24454.578304,20511.103594
690678.659866,665966.195001,982286.488682,172669.664967,166491.548750,24557.162217,10462.912478
633634.831109,691252.238263,988019.080895,158408.707777,172813.059566,24700.477022,59916.524364
710331.988159,683919.288807,972543.951858,177582.997040,170979.822202,24313.598796,22192.498291
639936.863090,685099.364978,970192.782427,159984.215772,171274.841244,24254.819561,53115.477972
652552.109410,680226.813606,962572.257384,163138.027352,170056.703401,24064.306435,42960.940341
680734.499607,661964.982082,995691.601664,170183.624902,165491.245521,24892.290042,23138.621432
716778.137711,689439.291618,979024.217034,179194.534428,172359.822904,24475.605426,28788.507190
671541.209992,685120.414315,987132.500938,167885.302498,171280.103579,24678.312523,22445.396772
653343.727339,685604.449328,970270.275159,163335.931835,171401.112332,24256.756879,40415.087421
681524.710837,697172.258766,976339.298496,170381.177709,174293.064691,24408.482462,23439.993553
666888.471324,689584.233069,957523.445208,166722.117831,172396.058267,23938.086130,36242.127675
663459.539239,700977.333616,967710.381437,165864.884810,175244.333404,24192.759536,39396.270582
689279.236220,663294.738088,980652.478738,172319.809055,165823.684522,24516.311968,13171.020380
678524.216731,680997.490957,976892.236436,169631.054183,170249.372739,24422.305911,14105.463222
686637.759583,694481.867972,958005.287062,171659.439896,173620.466993,23950.132177,29565.230719
693329.818930,645564.782660,958476.891469,173332.454732,161391.195665,23961.922287,38108.188115
631882.492838,677422.451051,962737.052497,157970.623210,169355.612763,24068.426312,62059.017867
652791.708831,681475.604364,965317.012083,163197.927208,170368.901091,24132.925302,41779.425695
635295.164200,684629.613096,981602.370554,158823.791050,171157.403274,24540.059264,56543.423564
672195.654935,692468.834343,973149.146079,168048.913734,173117.208586,24328.728652,26124.254212
693702.787438,664763.877021,996330.740827,173425.696859,166190.969255,24908.268521,19453.369988
657614.250319,700612.738047,981535.803155,164403.562580,175153.184512,24538.395079,41471.841184
680413.243643,682389.426339,973764.161139,170103.310911,170597.356585,24344.104028,14291.923654
644937.257549,694376.557863,953381.812439,161234.314387,173594.139466,23834.545311,56782.760146
679094.637003,669048.626339,979544.941491,169773.659251,167262.156585,24488.623537,14201.397253
660786.000000,694416.595059,965941.538813,165196.500000,173604.148765,24148.538470,38430.101891
690136.089623,643527.405109,983497.292178,172534.022406,160881.851277,24587.432304,32914.728614
660549.762911,687099.644027,950301.858442,165137.440728,171774.911007,23757.546461,44630.560265
688242.261350,674716.107326,991433.477299,172060.565338,168679.026831,24785.836932,11082.205659
660894.143150,688726.897112,973824.653718,165223.535787,172181.724278,24345.616343,33516.661540
655289.758997,713239.388188,952140.000000,163822.439749,178309.847047,23803.500000,58991.618411
663755.291280,677623.823307,976260.913836,165938.822820,169405.955827,24406.522846,27880.927841
686575.395829,655913.974500,980743.133487,171643.848957,163978.493625,24518.578337,20928.376838
711879.543837,671943.846949,961317.382241,177969.885959,167985.961737,24032.934556,28786.515605
646030.434710,689985.488612,939989.652995,161507.608677,172496.372153,23499.741325,62456.888077
630486.506585,692345.783530,960125.727409,157621.626646,173086.445882,24003.143185,66152.269733
649901.639621,695373.618562,974754.442064,162475.409905,173843.404640,24368.861052,45910.453546
670122.606022,682591.605416,975168.606022,167530.651506,170647.901354,24379.215151,22738.801383
630680.619068,664581.452080,932872.026897,157670.154767,166145.363020,23321.800672,78150.979728
688847.063986,675721.304294,980018.631721,172211.765996,168930.326073,24500.465793,2594.458940
751704.944787,699175.691017,983212.326821,187926.236197,174793.922754,24580.308171,64701.243466
691350.327498,672954.136002,981797.692628,172837.581875,168238.534000,24544.942316,3491.158185
669533.037227,687495.140246,977453.177473,167383.259307,171873.785061,24436.329437,24636.380141
712852.942996,695172.355655,971547.701349,178213.235749,173793.088914,24288.692534,30174.282668
716689.484720,653474.696550,961491.298116,179172.371180,163368.674138,24037.282453,39325.873192
685469.193851,697877.250905,976062.361189,171367.298463,174469.312726,24401.559030,22825.347351
645882.736727,701879.089891,988448.533906,161470.684182,175469.772473,24711.213348,52592.938905
678484.970588,715878.957814,968182.721309,169621.242647,178969.739453,24204.568033,43454.723605
684527.815102,678170.336566,977948.109937,171131.953775,169542.584141,24448.702748,7536.913391
658343.689420,694994.497600,964235.786360,164585.922355,173748.624400,24105.894659,41311.239459
693078.285785,672362.842298,978718.233458,173269.571446,168090.710575,24467.955836,4877.043953
672499.389572,672696.614836,984086.362194,168124.847393,168174.153709,24602.159055,19335.742380
681801.192414,678930.293938,989049.701918,170450.298104,169732.573485,24726.242548,12738.587057
659089.687399,668314.869175,988686.181776,164772.421850,167078.717294,24717.154544,34020.223122
678935.437345,681581.666453,971854.458086,169733.859336,170395.416613,24296.361452,16126.252519
679060.174126,688719.510562,974924.305630,169765.043531,172179.877641,24373.107641,18359.725567
694995.625880,651268.123975,981505.604044,173748.906470,162817.030994,24537.640101,25342.518099
687664.873875,697760.821167,976611.178833,171916.218469,174440.205292,24415.279471,22148.827694
643107.979062,712103.730977,983768.189818,160776.994766,178025.932744,24594.204745,60029.855920
675723.160227,681610.300817,970854.371387,168930.790057,170402.575204,24271.359285,19200.326944
642904.891351,709865.255090,993852.757363,160726.222838,177466.313772,24846.318934,60232.269561
653442.029021,695280.961305,977522.431340,163360.507255,173820.240326,24438.060784,42402.434036
679700.487738,674899.543817,958254.225349,169925.121935,168724.885954,23956.355634,25429.167054
664858.189697,701249.876200,969150.000000,166214.547424,175312.469050,24228.750000,38131.832762
624431.397939,715246.837737,988034.203234,156107.849485,178811.709434,24700.855081,77635.035167
656535.978419,718289.304899,944808.387097,164133.994605,179572.326225,23620.209677,65311.294308
648036.329705,666560.071357,937982.948382,162009.082426,166640.017839,23449.573710,61646.107945
