x,y,z,scaled x, scaled y, scaled z, distance
617220.581109,797047.331766,613291.806747,154305.145277,199261.832942,15332.295169,35926.603771
659661.659532,782916.228614,642647.993273,164915.414883,195729.057154,16066.199832,27509.122687
644033.094315,772411.891029,623473.312256,161008.273579,193102.972757,15586.832806,30082.920031
639860.958359,767944.514657,613911.749720,159965.239590,191986.128664,15347.793743,38942.458496
645004.797582,802406.239272,638333.274080,161251.199396,200601.559818,15958.331852,17618.190422
647944.354773,794094.326711,645088.971938,161986.088693,198523.581678,16127.224298,14916.778310
673606.688130,755943.762780,650062.474439,168401.672033,188985.940695,16251.561861,53489.144729
616644.116418,813350.488229,626408.313602,154161.029105,203337.622057,15660.207840,33544.197068
631794.026216,763010.351944,624805.891737,157948.506554,190752.587986,15620.147293,34262.031761
644417.229876,790593.108253,639112.540248,161104.307469,197648.277063,15977.813506,12385.919035
626924.957303,786083.996991,635682.344868,156731.239326,196520.999248,15892.058622,12110.741875
634755.476644,773069.198845,626746.230619,158688.869161,193267.299711,15668.655765,25323.763845
633167.189862,835476.965624,697871.851063,158291.797465,208869.241406,17446.796277,69393.968959
643210.463417,817786.749329,651191.554204,160802.615854,204446.687332,16279.788855,29412.750654
641540.400400,789483.317531,661731.000000,160385.100100,197370.829383,16543.275000,18871.198728
644809.535382,783993.716559,675208.563022,161202.383846,195998.429140,16880.214076,33225.401899
631336.229957,762916.338148,617617.463497,157834.057489,190729.084537,15440.436587,38978.854164
645450.839686,788146.413865,631767.369209,161362.709922,197036.603466,15794.184230,17923.568419
639269.008137,762078.270213,643105.794062,159817.252034,190519.567553,16077.644852,29378.320836
624964.691026,789002.012636,642977.424156,156241.172757,197250.503159,16074.435604,8806.537220
628470.413223,801743.097308,653636.239163,157117.603306,200435.774327,16340.905979,14914.773963
646305.965177,762788.342231,616719.448830,161576.491294,190697.085558,15417.986221,41695.195296
631353.376219,794504.303884,642979.025767,157838.344055,198626.075971,16074.475644,4576.873023
622437.294495,813224.732500,659982.283697,155609.323624,203306.183125,16499.557092,29222.635739
630265.725844,782125.101034,658638.185528,157566.431461,195531.275259,16465.954638,16671.363912
633686.761305,789043.310391,641433.869714,158421.690326,197260.827598,16035.846743,3780.226616
644774.870403,806950.802008,644761.639752,161193.717601,201737.700502,16119.040994,19743.619987
652336.407043,782897.206770,636489.156288,163084.101761,195724.301693,15912.228907,22132.626615
582347.318049,751884.458837,618392.403329,145586.829512,187971.114709,15459.810083,69403.767769
645943.681333,784056.299742,675864.000000,161485.920333,196014.074935,16896.600000,34213.983551
639426.612024,795816.237093,650474.008638,159856.653006,198954.059273,16261.850216,9696.419292
632714.822321,796542.897326,643550.550902,158178.705580,199135.724331,16088.763773,5892.717805
632449.646244,767301.079882,616346.698999,158112.411561,191825.269970,15408.667475,36893.938898
646445.052372,804133.184175,639144.789791,161611.263093,201033.296044,15978.619745,19471.922038
678890.645057,765334.756618,618276.651089,169722.661264,191333.689154,15456.916277,58484.393326
637413.036646,773049.843157,666939.000000,159353.259161,193262.460789,16673.475000,28699.842393
640609.193100,799082.513899,609389.399398,160152.298275,199770.628475,15234.734985,37033.023016
628362.433090,788550.000000,621341.785315,157090.608273,197137.500000,15533.544633,24060.015188
661097.424614,778493.341186,613370.341186,165274.356154,194623.335297,15334.258530,43640.892823
622388.884695,786355.496331,662972.546559,155597.221174,196588.874083,16574.313664,21742.804154
647416.615869,748519.321070,612190.254856,161854.153967,187129.830267,15304.756371,55193.976271
657235.759941,803903.046208,643659.044920,164308.939985,200975.761552,16091.476123,27217.954269
649033.909486,780210.822954,654502.370385,162258.477372,195052.705739,16362.559260,21258.592945
621202.876034,778032.786712,634894.930865,155300.719008,194508.196678,15872.373272,20233.694746
641782.054483,822512.810402,660813.697412,160445.513621,205628.202601,16520.342435,36506.641862
637984.053702,770677.527289,629225.580992,159496.013426,192669.381822,15730.639525,25844.273908
655762.745183,787705.428937,616227.649173,163940.686296,196926.357234,15405.691229,36387.387734
625325.546987,811859.148913,633596.588191,156331.386747,202964.787228,15839.914705,25150.906370
648395.994703,787459.389490,628314.442039,162098.998676,196864.847373,15707.861051,22510.509809
648346.284376,792365.212129,640031.120897,162086.571094,198091.303032,16000.778022,15756.692506
615769.242427,779931.008357,658357.919626,153942.310607,194982.752089,16458.947991,24780.820079
639024.830382,790515.900327,668785.635161,159756.207595,197628.975082,16719.640879,24678.025370
628148.438947,780324.196196,659190.000000,157037.109737,195081.049049,16479.750000,18596.767032
630311.935480,792851.399509,662710.553327,157577.983870,198212.849877,16567.763833,18326.938366
647236.450881,809078.133524,643986.000000,161809.112720,202269.533381,16099.650000,22927.334721
613135.294511,776670.943731,656526.215752,153283.823628,194167.735933,16413.155394,27368.277930
643897.632244,809661.907764,653412.689525,160974.408061,202415.476941,16335.317238,23244.817814
627244.048913,819329.567914,674720.557549,156811.012228,204832.391978,16868.013939,41815.129630
639224.290325,760112.835223,602453.752835,159806.072581,190028.208806,15061.343821,52597.260810
629681.484911,784937.586101,660757.693023,157420.371228,196234.396525,16518.942326,17443.610703
657933.896772,782493.316335,638865.988719,164483.474193,195623.329084,15971.649718,26572.820896
656335.248912,774468.998248,616142.497824,164083.812228,193617.249562,15403.562446,40154.639056
634768.446325,792835.222213,645549.451941,158692.111581,198208.805553,16138.736299,2565.950434
629657.390410,804640.970921,654506.017531,157414.347603,201160.242730,16362.650438,17323.160230
641438.223572,788261.957422,603882.428631,160359.555893,197065.489355,15097.060716,41739.385890
625301.375145,807016.629696,663314.495738,156325.343786,201754.157424,16582.862393,25927.835740
638006.974014,790257.593964,644059.545984,159501.743504,197564.398491,16101.488650,4697.183676
617143.813145,790101.631400,608620.654161,154285.953286,197525.407850,15215.516354,39632.010014
638316.000000,774581.937306,594669.937705,159579.000000,193645.484327,14866.748443,52884.454542
654002.790478,796438.445117,654838.000253,163500.697620,199109.611279,16370.950006,23618.166567
654508.041364,772763.518925,634573.869210,163627.010341,193190.879731,15864.346730,29586.612243
646646.190288,755620.696261,614581.108187,161661.547572,188905.174065,15364.527705,48218.694082
631538.151013,788043.829093,640186.975217,157884.537753,197010.957273,16004.674380,5661.191576
646252.825000,763393.975554,616902.322706,161563.206250,190848.493889,15422.558068,41149.915650
619586.681759,776687.681759,633840.357240,154896.670440,194171.920440,15846.008931,22573.108882
612466.529195,752395.500617,648893.468733,153116.632299,188098.875154,16222.336718,43946.138451
627037.175635,788191.580723,641943.729155,156759.293909,197047.895181,16048.593229,7433.276890
648373.500876,747179.581389,612055.040840,162093.375219,186794.895347,15301.376021,56551.542113
633818.779690,787699.152237,662303.420086,158454.694923,196924.788059,16557.585502,17823.161082
643586.052579,792509.602196,647070.824426,160896.513145,198127.400549,16176.770611,10585.148534
627039.413176,779183.956630,669100.721970,156759.853294,194795.989158,16727.518049,27716.085132
655183.448178,798589.066884,640783.856118,163795.862044,199647.266721,16019.596403,23471.752961
642445.918589,785245.918589,652651.633374,160611.479647,196311.479647,16316.290834,13236.491631
637637.809549,763930.801048,610628.600349,159409.452387,190982.700262,15265.715009,43655.003299
624272.888681,792523.743380,617856.334661,156068.222170,198130.935845,15446.408367,28459.704079
637430.056470,775609.352447,611071.723427,159357.514117,193902.338112,15276.793086,37180.851522
637915.507788,761796.000000,606248.057856,159478.876947,190449.000000,15156.201446,48433.005671
638567.499219,790552.890391,615600.777317,159641.874805,197638.222598,15390.019433,29615.433448
654015.381528,783568.005091,638308.022545,163503.845382,195892.001273,15957.700564,22788.601051
640104.437373,788125.864477,605053.763689,160026.109343,197031.466119,15126.344092,40358.706162
654739.330846,787651.512575,618318.965545,163684.832712,196912.878144,15457.974139,34127.409151
640844.458655,784050.134961,610004.459030,160211.114664,196012.533740,15250.111476,36182.925450
650104.577199,783291.651806,630520.543125,162526.144300,195822.912952,15763.013578,23206.777024
659941.514853,799376.811561,621213.912490,164985.378713,199844.202890,15530.347812,36501.645037
640300.235324,788599.718319,604820.451397,160075.058831,197149.929580,15120.511285,40592.461276
644953.615912,788141.369376,645960.282817,161238.403978,197035.342344,16149.007070,11923.624172
627268.139862,790021.186819,633000.317849,156817.034965,197505.296705,15825.007946,13284.296073
634430.785135,787003.071622,651162.096308,158607.696284,196750.767905,16279.052408,7523.033978
638064.304331,781078.627731,677255.457423,159516.076083,195269.656933,16931.386436,34242.725317
631072.176298,833629.566941,644581.868330,157768.044074,208407.391735,16114.546708,42876.956535
608006.770101,773505.549052,654532.098314,152001.692525,193376.387263,16363.302458,32245.288220
629256.899426,778323.000000,664283.178526,157314.224856,194580.750000,16607.079463,23544.886967
625734.933673,796378.108543,660145.766841,156433.733418,199094.527136,16503.644171,18065.182257
662142.922249,778695.066116,620734.813207,165535.730562,194673.766529,15518.370330,39376.543493
641424.000000,775891.338332,625814.032561,160356.000000,193972.834583,15645.350814,25419.362543
623742.176145,778483.092707,672394.371963,155935.544036,194620.773177,16809.859299,31764.058794
638612.789844,789839.923293,646779.000000,159653.197461,197459.980823,16169.475000,5678.378555
653797.204660,788660.465266,622265.055579,163449.301165,197165.116317,15556.626389,30444.671226
626258.275338,791630.920419,611821.102816,156564.568834,197907.730105,15295.527570,33713.234142
670897.671131,754726.451531,612655.506774,167724.417783,188681.612883,15316.387669,61151.691159
615585.148009,779733.465139,658165.246863,153896.287002,194933.366285,16454.131172,24894.771962
636884.306135,789609.713797,659014.776081,159221.076534,197402.428449,16475.369402,14724.878513
621140.190137,777269.629091,634897.615095,155285.047534,194317.407273,15872.440377,20759.953666
617220.600599,793978.491407,659406.020182,154305.150150,198494.622852,16485.150505,22048.827743
655834.706321,726323.351146,607682.819820,163958.676580,181580.837787,15192.070496,77701.445209
645289.210216,791343.000000,640002.562344,161322.302554,197835.750000,16000.064059,12820.272668
634097.111675,794769.272719,644835.607744,158524.277919,198692.318180,16120.890194,4015.674203
626184.318372,817984.779680,674060.607597,156546.079593,204496.194920,16851.515190,40603.898172
631019.521144,833114.730706,643938.514795,157754.880286,208278.682677,16098.462870,42373.400962
621136.126283,798026.271205,655412.413469,155284.031571,199506.567801,16385.310337,17769.817869
611831.315257,793745.726886,607226.718715,152957.828814,198436.431721,15180.667968,43386.243577
630762.677017,774519.089922,632663.588611,157690.669254,193629.772480,15816.589715,20465.747886
635349.367474,762889.225706,632275.233333,158837.341868,190722.306427,15806.880833,30652.728519
653290.928560,781783.931734,630433.067208,163322.732140,195445.982934,15760.826680,26127.522707
648626.161804,795052.891497,646361.571756,162156.540451,198763.222874,16159.039294,15889.433918
634694.428845,785722.221271,652977.965012,158673.607211,196430.555318,16324.449125,9755.380471
649467.146198,795874.526035,647692.288114,162366.786549,198968.631509,16192.307203,17101.717438
631804.665022,788508.612930,642315.026494,157951.166255,197127.153232,16057.875662,3719.445866
654012.420719,783350.338014,638169.832020,163503.105180,195837.584503,15954.245800,22895.484842
624639.421686,817647.023544,671412.976915,156159.855422,204411.755886,16785.324423,38819.617033
633658.213159,789076.139601,640923.598355,158414.553290,197269.034900,16023.089959,4220.645393
637562.619371,780238.044948,608095.295489,159390.654843,195059.511237,15202.382387,38386.904107
633224.088700,789207.485264,640704.019742,158306.022175,197301.871316,16017.600494,4366.674822
626276.155195,781967.442468,631954.180376,156569.038799,195491.860617,15798.854509,17116.605291
646629.527708,786032.865489,645337.819384,161657.381927,196508.216372,16133.445485,14083.270451
617671.139699,795757.848719,614865.453844,154417.784925,198939.462180,15371.636346,34137.618402
632404.329542,792398.904241,641439.393851,158101.082385,198099.726060,16035.984846,3809.910935
657068.597659,796256.629485,634921.802263,164267.149415,199064.157371,15873.045057,26206.534754
616774.314036,793251.202096,647095.617591,154193.578509,198312.800524,16177.390440,16960.712340
628682.149294,780652.213545,669771.863308,157170.537324,195163.053386,16744.296583,27406.500136
